DatasetName,Algorithm,K_Folds,AccuracyPercent,RecallPercent,PrecisionPercent,F1ScorePercent,Duration
Swedish,Proposed_GBCS,3,95.8519,96.1349,96.2894,95.9369,(00:02:18:868)
Swedish,Proposed_GBCS,5,96.2963,96.0939,96.0782,95.8594,(00:04:35:361)
Swedish,Proposed_GBCS,7,97.0361,97.2067,97.3427,97.0269,(00:06:50:475)
Swedish,Proposed_GBCS,9,96.8889,97.1022,96.9153,96.6327,(00:09:05:486)
Flavia,Proposed_GBCS,3,96.6782,93.4285,93.9141,93.4048,(00:08:32:711)
Flavia,Proposed_GBCS,5,97.2029,94.4282,94.4889,94.2686,(00:16:52:505)
Flavia,Proposed_GBCS,7,97.9019,94.0814,94.3790,93.9652,(00:25:00:111)
Flavia,Proposed_GBCS,9,97.6392,93.7577,93.9062,93.4232,(00:33:07:843)
Philippine,Proposed_GBCS,3,97.1160,96.8905,97.1755,96.9240,(00:26:51:996)
Philippine,Proposed_GBCS,5,97.5524,97.4430,97.6665,97.4456,(00:54:09:152)
Philippine,Proposed_GBCS,7,97.6526,97.5378,97.6975,97.4625,(01:20:44:788)
Philippine,Proposed_GBCS,9,97.9213,97.9373,98.0089,97.8138,(01:47:59:087)
Swedish,Baseline_BCS,3,95.5556,95.9219,95.9283,95.6264,(00:01:42:582)
Swedish,Baseline_BCS,5,95.8519,95.8088,96.1163,95.5700,(00:03:24:978)
Swedish,Baseline_BCS,7,96.2951,96.6315,96.9603,96.3011,(00:05:07:298)
Swedish,Baseline_BCS,9,96.2963,96.4526,96.6611,96.0362,(00:06:46:984)
Flavia,Baseline_BCS,3,97.3772,94.4492,94.5987,94.4017,(00:06:19:263)
Flavia,Baseline_BCS,5,97.7270,94.8775,95.1029,94.8192,(00:12:37:350)
Flavia,Baseline_BCS,7,97.8121,94.2752,93.9669,93.8679,(00:18:47:699)
Flavia,Baseline_BCS,9,97.1135,93.4397,93.1754,92.9256,(00:25:03:465)
Philippine,Baseline_BCS,3,96.9148,96.7120,96.9523,96.7364,(00:20:32:073)
Philippine,Baseline_BCS,5,97.3850,97.2886,97.3580,97.1910,(00:41:15:866)
Philippine,Baseline_BCS,7,97.7867,97.6038,97.7989,97.5208,(01:01:57:335)
Philippine,Baseline_BCS,9,97.6870,97.6417,97.8002,97.5517,(01:22:54:396)
