DatasetName,ClassName,SampleCount,Percentage
Flavia,"castor aralia",52,2.73
Flavia,"true indigo",73,3.83
Flavia,"wintersweet",52,2.73
Flavia,"pubescent bamboo",59,3.09
Flavia,"Chinese cinnamon",55,2.88
Flavia,"Japanese Flowering Cherry",55,2.88
Flavia,"goldenrain tree",59,3.09
Flavia,"camphortree",65,3.41
Flavia,"Anhui Barberry",65,3.41
Flavia,"Crape myrtle",1,0.05
Flavia,"Chinese tulip tree",53,2.78
Flavia,"Chinese Toon",65,3.41
Flavia,"Chinese horse chestnut",63,3.30
Flavia,"Nanmu",62,3.25
Flavia,"deodar",77,4.04
Flavia,"tangerina",56,2.94
Flavia,"Japanese cheesewood",63,3.30
Flavia,"Beale's barberry",55,2.88
Flavia,"yew plum pine",60,3.15
Flavia,"Canadian poplar",64,3.36
Flavia,"southern magnolia",57,2.99
Flavia,"peach",54,2.83
Flavia,"Ford Woodlotus",52,2.73
Flavia,"Glossy Privet",55,2.88
Flavia,"Japanese maple",56,2.94
Flavia,"trident maple",53,2.78
Flavia,"Chinese redbud",72,3.78
Flavia,"Japan Arrowwood",60,3.15
Flavia,"ginkgo maidenhair tree",62,3.25
Flavia,"oleander",66,3.46
Flavia,"sweet osmanthus",56,2.94
Flavia,"Crape myrtle Crepe myrtle",60,3.15
Flavia,"Big-fruited Holly",50,2.62
Philippine,"Impatiens balsamina",130,2.62
Philippine,"Averrhoea bilimbi",100,2.01
Philippine,"Citrus sinensis",100,2.01
Philippine,"Citrus microcarpa",110,2.21
Philippine,"Nerium oleander",130,2.62
Philippine,"Momordica charantia",106,2.13
Philippine,"Moringa oleifera",138,2.78
Philippine,"Pandanus amaryllifolius",108,2.17
Philippine,"Hibiscus rosa-sinensis",116,2.33
Philippine,"Vitex negundo",146,2.94
Philippine,"Citrus maxima",130,2.62
Philippine,"Centella asiatica",140,2.82
Philippine,"Ipomoea batatas",110,2.21
Philippine,"Jatropha curcas",142,2.86
Philippine,"Origanum vulgare",130,2.62
Philippine,"Coleus scutellarioides",120,2.41
Philippine,"Euphorbia hirta",128,2.57
Philippine,"Manihot esculenta",124,2.49
Philippine,"Ocimum basilicum",148,2.98
Philippine,"Mangifera indica",110,2.21
Philippine,"Capsicum frutescens",126,2.53
Philippine,"Arachis hypogaea",130,2.62
Philippine,"Gliricidia sepium",130,2.62
Philippine,"Pepromia pellucida",140,2.82
Philippine,"Leucaena leucocephala",100,2.01
Philippine,"Corchorus olitorius",142,2.86
Philippine,"Carmona retusa",130,2.62
Philippine,"Lagerstroemia speciosa",140,2.82
Philippine,"Antidesma bunius",142,2.86
Philippine,"Phyllanthus niruri",130,2.62
Philippine,"Aloe barbadensis Miller",130,2.62
Philippine,"Blumea balsamifera",110,2.21
Philippine,"Curcuma longa",100,2.01
Philippine,"Psidium guajava",110,2.21
Philippine,"Premna odorata",120,2.41
Philippine,"Senna alata",118,2.37
Philippine,"Citrus aurantiifolia",116,2.33
Philippine,"Tamarindus indica",171,3.44
Philippine,"Annona muricata",120,2.41
Philippine,"Mentha cordifolia Opiz",100,2.01
Swedish,"Salix alba 'Sericea'",75,6.67
Swedish,"Salix aurita",75,6.67
Swedish,"Betula pubescens",75,6.67
Swedish,"Populus tremula",75,6.67
Swedish,"Sorbus aucuparia",75,6.67
Swedish,"Sorbus intermedia",75,6.67
Swedish,"fagus sylvatica",75,6.67
Swedish,"Acer",75,6.67
Swedish,"Quercus",75,6.67
Swedish,"Ulmus glabra",75,6.67
Swedish,"Alnus incana",75,6.67
Swedish,"Salix sinerea",75,6.67
Swedish,"Ulmus carpinifolia",75,6.67
Swedish,"Populus",75,6.67
Swedish,"Tilia",75,6.67
