Iteration,BestFitnessScore,SelectedFeatures,ReductionRatioPercent,Description
0,0.877164,1549,24.37%,"Initial Population Initialization (Random Nest Generation)"
1,0.883384,1409,31.20%,"Hybrid Evolution (Lévy Flight + Uniform Crossover Pc=0.8 + Mutation Pm=0.02)"
2,0.883384,1409,31.20%,"Hybrid Evolution (Lévy Flight + Uniform Crossover Pc=0.8 + Mutation Pm=0.02)"
3,0.883573,1359,33.64%,"Hybrid Evolution (Lévy Flight + Uniform Crossover Pc=0.8 + Mutation Pm=0.02)"
4,0.884596,1413,31.01%,"Hybrid Evolution (Lévy Flight + Uniform Crossover Pc=0.8 + Mutation Pm=0.02)"
5,0.885894,1384,32.42%,"Hybrid Evolution (Lévy Flight + Uniform Crossover Pc=0.8 + Mutation Pm=0.02)"
6,0.885894,1384,32.42%,"Hybrid Evolution (Lévy Flight + Uniform Crossover Pc=0.8 + Mutation Pm=0.02)"
7,0.885894,1384,32.42%,"Hybrid Evolution (Lévy Flight + Uniform Crossover Pc=0.8 + Mutation Pm=0.02)"
8,0.886092,1382,32.52%,"Hybrid Evolution (Lévy Flight + Uniform Crossover Pc=0.8 + Mutation Pm=0.02)"
9,0.886092,1382,32.52%,"Hybrid Evolution (Lévy Flight + Uniform Crossover Pc=0.8 + Mutation Pm=0.02)"
10,0.887603,1365,33.35%,"Hybrid Evolution (Lévy Flight + Uniform Crossover Pc=0.8 + Mutation Pm=0.02)"
11,0.888234,1396,31.84%,"Hybrid Evolution (Lévy Flight + Uniform Crossover Pc=0.8 + Mutation Pm=0.02)"
12,0.888234,1396,31.84%,"Hybrid Evolution (Lévy Flight + Uniform Crossover Pc=0.8 + Mutation Pm=0.02)"
13,0.888256,1377,32.76%,"Hybrid Evolution (Lévy Flight + Uniform Crossover Pc=0.8 + Mutation Pm=0.02)"
14,0.888256,1377,32.76%,"Hybrid Evolution (Lévy Flight + Uniform Crossover Pc=0.8 + Mutation Pm=0.02)"
15,0.888791,1397,31.79%,"Hybrid Evolution (Lévy Flight + Uniform Crossover Pc=0.8 + Mutation Pm=0.02)"
16,0.888883,1368,33.20%,"Hybrid Evolution (Lévy Flight + Uniform Crossover Pc=0.8 + Mutation Pm=0.02)"
17,0.889915,1359,33.64%,"Hybrid Evolution (Lévy Flight + Uniform Crossover Pc=0.8 + Mutation Pm=0.02)"
18,0.889915,1359,33.64%,"Hybrid Evolution (Lévy Flight + Uniform Crossover Pc=0.8 + Mutation Pm=0.02)"
19,0.890748,1371,33.06%,"Hybrid Evolution (Lévy Flight + Uniform Crossover Pc=0.8 + Mutation Pm=0.02)"
20,0.891162,1349,34.13%,"Hybrid Evolution (Lévy Flight + Uniform Crossover Pc=0.8 + Mutation Pm=0.02)"
