Iteration,BestFitnessScore,TotalFeatures,SelectedFeatures,ReductionRatioPercent,Description
0,0.949878,2048,1000,51.17%,Initial Population Initialization (Random Nest Generation)
1,0.951205,2048,1042,49.12%,Lévy Flight Global Inversion Step (All bits inverted)
2,0.951205,2048,1042,49.12%,Lévy Flight Select All Step (All bits set to 1)
3,0.951205,2048,1042,49.12%,Lévy Flight Zero Step (Stagnated at Local Optima - 0 bit changes)
4,0.951205,2048,1042,49.12%,Lévy Flight Zero Step (Stagnated at Local Optima - 0 bit changes)
5,0.951205,2048,1042,49.12%,Lévy Flight Zero Step (Stagnated at Local Optima - 0 bit changes)
6,0.951205,2048,1042,49.12%,Lévy Flight Zero Step (Stagnated at Local Optima - 0 bit changes)
7,0.951205,2048,1042,49.12%,Lévy Flight Zero Step (Stagnated at Local Optima - 0 bit changes)
8,0.951205,2048,1042,49.12%,Lévy Flight Zero Step (Stagnated at Local Optima - 0 bit changes)
9,0.951205,2048,1042,49.12%,Lévy Flight Zero Step (Stagnated at Local Optima - 0 bit changes)
10,0.951205,2048,1042,49.12%,Lévy Flight Zero Step (Stagnated at Local Optima - 0 bit changes)
11,0.951205,2048,1042,49.12%,Lévy Flight Zero Step (Stagnated at Local Optima - 0 bit changes)
12,0.951205,2048,1042,49.12%,Lévy Flight Zero Step (Stagnated at Local Optima - 0 bit changes)
13,0.951205,2048,1042,49.12%,Lévy Flight Zero Step (Stagnated at Local Optima - 0 bit changes)
14,0.951205,2048,1042,49.12%,Lévy Flight Zero Step (Stagnated at Local Optima - 0 bit changes)
15,0.951205,2048,1042,49.12%,Lévy Flight Zero Step (Stagnated at Local Optima - 0 bit changes)
16,0.951205,2048,1042,49.12%,Lévy Flight Zero Step (Stagnated at Local Optima - 0 bit changes)
17,0.951205,2048,1042,49.12%,Lévy Flight Zero Step (Stagnated at Local Optima - 0 bit changes)
18,0.951205,2048,1042,49.12%,Lévy Flight Zero Step (Stagnated at Local Optima - 0 bit changes)
19,0.951205,2048,1042,49.12%,Lévy Flight Zero Step (Stagnated at Local Optima - 0 bit changes)
20,0.951205,2048,1042,49.12%,Lévy Flight Zero Step (Stagnated at Local Optima - 0 bit changes)
