Iteration,BestFitnessScore,SelectedFeatures,ReductionRatioPercent,Description
0,0.882997,1551,24.27%,"Initial Population Initialization (Random Nest Generation)"
1,0.888598,1391,32.08%,"Hybrid Evolution (Lévy Flight + Uniform Crossover Pc=0.8 + Mutation Pm=0.02)"
2,0.888598,1391,32.08%,"Hybrid Evolution (Lévy Flight + Uniform Crossover Pc=0.8 + Mutation Pm=0.02)"
3,0.889582,1442,29.59%,"Hybrid Evolution (Lévy Flight + Uniform Crossover Pc=0.8 + Mutation Pm=0.02)"
4,0.889582,1442,29.59%,"Hybrid Evolution (Lévy Flight + Uniform Crossover Pc=0.8 + Mutation Pm=0.02)"
5,0.891674,1451,29.15%,"Hybrid Evolution (Lévy Flight + Uniform Crossover Pc=0.8 + Mutation Pm=0.02)"
6,0.891674,1451,29.15%,"Hybrid Evolution (Lévy Flight + Uniform Crossover Pc=0.8 + Mutation Pm=0.02)"
7,0.891674,1451,29.15%,"Hybrid Evolution (Lévy Flight + Uniform Crossover Pc=0.8 + Mutation Pm=0.02)"
8,0.892708,1404,31.45%,"Hybrid Evolution (Lévy Flight + Uniform Crossover Pc=0.8 + Mutation Pm=0.02)"
9,0.892708,1404,31.45%,"Hybrid Evolution (Lévy Flight + Uniform Crossover Pc=0.8 + Mutation Pm=0.02)"
10,0.892708,1404,31.45%,"Hybrid Evolution (Lévy Flight + Uniform Crossover Pc=0.8 + Mutation Pm=0.02)"
11,0.892708,1404,31.45%,"Hybrid Evolution (Lévy Flight + Uniform Crossover Pc=0.8 + Mutation Pm=0.02)"
12,0.892708,1404,31.45%,"Hybrid Evolution (Lévy Flight + Uniform Crossover Pc=0.8 + Mutation Pm=0.02)"
13,0.893084,1396,31.84%,"Hybrid Evolution (Lévy Flight + Uniform Crossover Pc=0.8 + Mutation Pm=0.02)"
14,0.893376,1389,32.18%,"Hybrid Evolution (Lévy Flight + Uniform Crossover Pc=0.8 + Mutation Pm=0.02)"
15,0.895649,1369,33.15%,"Hybrid Evolution (Lévy Flight + Uniform Crossover Pc=0.8 + Mutation Pm=0.02)"
16,0.895649,1369,33.15%,"Hybrid Evolution (Lévy Flight + Uniform Crossover Pc=0.8 + Mutation Pm=0.02)"
17,0.895649,1369,33.15%,"Hybrid Evolution (Lévy Flight + Uniform Crossover Pc=0.8 + Mutation Pm=0.02)"
18,0.895649,1369,33.15%,"Hybrid Evolution (Lévy Flight + Uniform Crossover Pc=0.8 + Mutation Pm=0.02)"
19,0.895649,1369,33.15%,"Hybrid Evolution (Lévy Flight + Uniform Crossover Pc=0.8 + Mutation Pm=0.02)"
20,0.895649,1369,33.15%,"Hybrid Evolution (Lévy Flight + Uniform Crossover Pc=0.8 + Mutation Pm=0.02)"
